,,,Boys,,,,,,,,,Girls
Team,Link,Distance,Avg,17-18,,16-17,,15-16,,14-15,,Avg,17-18,,16-17,,15-16,,14-15
,,,,Record,Rank,Record,Rank,Record,Rank,Record,Rank,,Record,Rank,Record,Rank,Record,Rank,Record,Rank
Douglas County West (Valley),"https://www.maxpreps.com/high-schools/douglas-county-west-falcon-(valley,ne)/basketball/rankings.htm",56.55,,="9-15",11659,="11-11",8189,="17-7",4891,="7-8",8800,,="3-20",13000,="2-19",15352,="2-20",17078,="2-13",15858
East Butler (Brainard),"https://www.maxpreps.com/high-schools/east-butler-tigers-(brainard,ne)/basketball/rankings.htm",46.4166666666667,,="3-20",17497,="5-18",15925,="16-9",12030,="11-5",8890,,="12-11",9310,="6-16",13853,="5-16",16343,="5-12",13415
Elba,"https://www.maxpreps.com/high-schools/elba-bluejays-(elba,ne)/basketball/rankings.htm",121.05,, ,,="0-16",17829,="0-15",19306,="1-14",19105,, ,,="1-15",16432,="0-14",18054,="1-16",17614
Elgin/Pope John (Elgin),"https://www.maxpreps.com/high-schools/elgin-pope-john-wolfpack-(elgin,ne)/basketball/rankings.htm",149.733333333333,,="7-15",14404,="11-12",10724,="6-16",15918,="2-12",18245,,="18-8",4391,="19-8",4398,="19-5",3627,="13-3",4492
Elkhorn,"https://www.maxpreps.com/high-schools/elkhorn-antlers-(elkhorn,ne)/basketball/rankings.htm",56.1333333333333,,="6-17",7051,="10-12",5220,="15-9",1950,="5-10",8499,,="18-7",1945,="17-8",2484,="19-6",1686,="14-2",1309
Elkhorn South (Omaha),"https://www.maxpreps.com/high-schools/elkhorn-south-storm-(elkhorn,ne)/basketball/rankings.htm",56.1333333333333,,="21-5",424,="12-10",3628,="18-7",1219,="8-7",5629,,="19-6",1332,="23-5",578,="22-3",868,="6-10",6524
Elkhorn Valley (Tilden),"https://www.maxpreps.com/high-schools/elkhorn-valley-falcons-(tilden,ne)/basketball/rankings.htm",149.283333333333,,="4-18",17737,="1-21",17287,="4-18",18149,="4-12",17746,,="2-20",12671,="11-12",10882,="16-8",6557,="12-4",5935
Elm Creek,"https://www.maxpreps.com/high-schools/elm-creek-buffaloes-(elm-creek,ne)/basketball/rankings.htm",124.633333333333,,="14-10",9998,="13-10",10466,="17-7",7720,="11-4",7495,,="15-8",8068,="21-5",5608,="23-3",3987,="13-2",3866
Elmwood-Murdock (Murdock),"https://www.maxpreps.com/high-schools/elmwood-murdock-knights-(murdock,ne)/basketball/rankings.htm",37.15,,="13-13",8427,="24-5",1182,="24-5",1959,="14-1",1099,,="19-6",4387,="13-11",9639,="15-10",7041,="10-7",4980
Emerson-Hubbard (Emerson),"https://www.maxpreps.com/high-schools/emerson-hubbard-pirates-(emerson,ne)/basketball/rankings.htm",128.8,,="6-18",16334,="8-14",13052,="2-21",17635,="1-14",17067,,="23-4",1414,="28-1",566,="9-14",12605,="4-13",14932
